2020bb,2020 Super Baseball
alpham2,Alpha Mission II
androdun,Andro Dunos
aodk,Aggressors of Dark Kombat
aof,Art of Fighting
aof2,Art of Fighting 2
aof3,Art of Fighting 3 - The Path of the Warrior
bangbead,Bang Bead
bjourney,Blues Journey
blazstar,Blazing Star
breakers,Breakers
breakrev,Breakers Revenge
bstars,Baseball Stars Professional
bstars2,Baseball Stars 2
burningf,Burning Fight
crsword,Crossed Swords
ctomaday,Captain Tomaday
cyberlip,Cyber-Lip
doubledr,Double Dragon
eightman,Eight Man
fatfursp,Fatal Fury Special
fatfury1,Fatal Fury : King of Fighters
fatfury2,Fatal Fury 2
fatfury3,Fatal Fury 3: Road to the Final Victory
fbfrenzy,Football Frenzy
fightfev,Fight Fever
flipshot,Battle Flip Shot
galaxyfg,Galaxy Fight: Universal Warriors
ganryu,Ganryu
garou,Garou: Mark of the Wolves
ghostlop,Ghostlop
goalx3,Goal Goal Goal
gowcaizr,Chojin Gakuen Gowcaizer
gpilots,Ghost Pilots
gururin,Gururin
irrmaze,The Irritating Maze
joyjoy,Puzzled
kabukikl,Far East of Eden: Kabuki Klash
karnovr,Fighters History Dynamite
kizuna,Kizuna Encounter - Super Tag Battle
kof2000,The King of Fighters 2000
kof2001,The King of Fighters 2001
kof2002,The King of Fighters 2002
kof2003,The King of Fighters 2003
kof94,The King of Fighters 94
kof95,The King of Fighters 95
kof96,The King of Fighters 96
kof97,The King of Fighters 97
kof98,The King of Fighters 98: The Slugfest
kof99,The King of Fighters 99: Millennium Battle
kotm,King of the Monsters
kotm2,King of the Monsters 2 - The Next Thing
lastblad,Bakumatsu Roman: Gekka no Kenshi
lastbld2,Bakumatsu Roman Dai Ni Maku: Gekka no Kenshi
lbowling,League Bowling
legendos,Legend of Success Joe
lresort,Last Resort
magdrop2,Magical Drop II
magdrop3,Magical Drop III
maglord,Magician Lord
matrim,Matrimelee
mslug,Metal Slug
mslug2,Metal Slug 2
mslug3,Metal Slug 3
mslug4,Metal Slug 4
mslug5,Metal Slug 5
mslugx,Metal Slug X
mutnat,Mutation Nation
nam1975,NAM-1975
ncombat,Ninja Combat
ncommand,Ninja Commando
neobombe,Neo Bomberman
neocup98,Neo-Geo Cup 98 - The Road to the Victory
neodrift,Neo Drift Out - New Technology
neogeo,ZZ-NeoGeo-BIOS
neomrdo,Neo Mr. Do
ninjamas,Ninja Masters: Haō Ninpō Chō
nitd,Nightmare in the Dark
overtop,Over Top
panicbom,Panic Bomber
pbobbl2n,Puzzle Bobble 2
pbobblen,Puzzle Bobble
pgoal,Pleasure Goal
pnyaa,Pochi and Nyaa
popbounc,Pop n Bounce
preisle2,Prehistoric Isle 2
pspikes2,Power Spikes II
pulstar,Pulstar
puzzledp,Puzzle De Pon
ragnagrd,Ragnagard
rbff1,Real Bout Fatal Fury
rbff2,Real Bout Fatal Fury 2 - The Newcomers
rbffspec,Real Bout Fatal Fury Special
ridhero,Riding Hero
roboarmy,Robo Army
rotd,Rage of the Dragons
s1945p,Strikers 1945 Plus
samsh5sp,Samurai Shodown V Special
samsho,Samurai Shodown
samsho2,Samurai Shodown II
samsho3,Samurai Shodown III
samsho4,Samurai Shodown IV - Amakusas Revenge
samsho5,Samurai Shodown V
savagere,Savage Reign
sdodgeb,Super Dodge Ball
sengoku,Sengoku
sengoku2,Sengoku 2
sengoku3,Sengoku 3
shocktr2,Shock Troopers : 2nd Squad
shocktro,Shock Troopers
socbrawl,Soccer Brawl
sonicwi2,Aero Fighters 2
sonicwi3,Aero Fighters 3
spinmast,Spin Master
ssideki,Super Sidekicks
ssideki2,Super Sidekicks 2 - The World Championship
ssideki3,Super Sidekicks 3 - The Next Glory
ssideki4,The Ultimate 11: SNK Football Championship
stakwin,Stakes Winner
stakwin2,Stakes Winner 2
strhoop,Street Hoop
superspy,The Super Spy
svc,SVC Chaos - SNK Vs. Capcom
tophuntr,Top Hunter: Roddy and Cathy
totc,Treasure of the Caribbean
tpgolf,Top Players Golf
trally,Thrash Rally
turfmast,Neo Turf Masters
twinspri,Twinkle Star Sprites
viewpoin,Viewpoint
vliner,V-Liner
wakuwak7,Waku Waku 7
wh1,World Heroes
wh2,World Heroes 2
wh2j,World Heroes 2 Jet
whp,World Heroes Perfect
wjammers,Flying Power Disc
zedblade,Operation Ragnarok
zupapa,Zupapa
1941,1941: Counter Attack
1942,1942
1943,1943: The Battle of Midway
1943kai,1943 Kai: Midway Kaisen
1944,1944 : The Loop Master
19xx,19XX : The War Against Destiny
3wonderu,Three Wonders
720,720 Degrees
aburner,After Burner
aburner2,After Burner II
actfancr,Act-Fancer: Cybernetick Hyper Weapon
aerofgt,Aero Fighters
airwolf,Airwolf
aliensu,Aliens
aliensyn,Alien Syndrome
aligatun,Alligator Hunt
altbeast,Altered Beast
amidar,Amidar
aquajack,Aqua Jack
arknoid2,Arkanoid - Revenge Of Doh
arknoidu,Arkanoid
armwaru,Armored Warriors
asterix,Asterix
asteroid,Asteroids
astorm,Alien Storm
avspirit,Avenging Spirit
avspu,Aliens Versus Predator
baddudes,Bad Dudes vs. Dragonninja
bankp,Bank Panic
batcir,Battle Circuit
batman,Batman
batrider,Armed Police Batrider
bbros,Buster Bros
berzerk1,Berzerk
biomtoy,Biomechanical Toy
bionicc,Bionic Commando
blktiger,Black Tiger
blstroid,Blasteroids
blswhstl,Bells and Whistles
bnj,Bump n Jump
bogeyman,Bogey Manor
bombjack,Bomb Jack
boogwing,Boogie Wings
bosco,Bosconian
btime,Burger Time
btoads,Battletoads
bubbles,Bubbles
bubbobr1,Bubble Bobble
bubsympu,Bubble Symphony
buckrog,Buck Rogers: Planet of Zoom
buckyua,Bucky OHare
bwidow,Black Widow
bzone,Battle Zone
cabal,Cabal
candance,Osman
captavnu,Captain America And The Avengers
captcomu,Captain Commando
cawingu,Carrier Air Wing
cbuster,Crude Buster
ccastles,Crystal Castles
cclimber,Crazy Climber
centtime,Centipede
chasehq,Chase H.Q.
chinagat,China Gate
chplft,Choplifter
circusc,Circus Charlie
citycon,City Connection
columns,Columns
commandu,Commando
congo,Congo Bongo
contra,Contra
crimfgt2,Crime Fighters
ctribe,The Combatribes
cybots,Cyberbots : Fullmetal Madness
cyvern,Cyvern - The Dragon Weapons
darkseal,Dark Seal
dassault,Desert Assault
dbreed,Dragon Breed
ddcrew,D. D. Crew
ddragn2u,Double Dragon II - The Revenge
ddragonu,Double Dragon
ddsomu,Dungeons and Dragons: Shadow over Mystara
ddtodu,Dungeons and Dragons: Tower of Doom
deadconx,Dead Connection
defendg,Defender
digdug,Dig Dug
digdug2,Dig Dug II
dimahoo,Dimahoo
dinou,Cadillacs and Dinosaurs
dkong3,Donkey Kong 3
dkongjr,Donkey Kong Junior
dkongo,Donkey Kong
docastle,Mr Dos Castle
dogyuun,Dogyuun
dondokod,Don Doko Don
donpachi,DonPachi
drtoppel,Dr. Toppels Adventure
dsaber,Dragon Saber
dstlku,Darkstalkers: The Night Warriors
dw,Dynasty Wars
ecofghtr,Eco Fighters
edrandy,The Cliffhanger: Edward Randy
elevator,Elevator Action
elvactr,Elevator Action Returns
enduror,Enduro Racer
exedexes,Exed Exes
fantzn2,Fantasy Zone II: The Tears of Opa-Opa
fantzone,Fantasy Zone
ffightu,Final Fight
flicky,Flicky
foodf,Food Fight
forgottn,Forgotten Worlds
frogger,Frogger
funkyjet,Funky Jet
ga2,Golden Axe: The Revenge of Death Adder
gaiden,Ninja Gaiden
galaga,Galaga
galaga88,Galaga 88
galaxian,Galaxian
galmedes,Galmedes
gangwars,Gang Wars
gaplus,Gaplus
gaunt22p,Gauntlet 2
gaunt2p,Gauntlet
ghostb,The Real Ghostbusters
ghoulsu,Ghouls n Ghosts
gigawing,Giga Wing
gijoeu,G.I. Joe
gnbarich,Gunbarich
gngt,Ghosts n Goblins
godzilla,Godzilla
goldnaxe,Golden Axe
gorf,Gorf
gradius,Gradius
gradius2,Gradius II: Gofer no Yab
grdians,Guardians: Denjin Makai II
grdius3e,Gradius III
growlu,Growl
gtmr2,Mille Miglia 2: Great 1000 Miles Rally
gunbird2,Gunbird 2
gunforc2,GunForce II
gunlock,Gunlock
gunnail,GunNail
gunsmoku,Gun.Smoke
guwange,Guwange
gyruss,Gyruss
hangon,Hang-On
hattrick,Hat Trick
heatbrlu,Heated Barrel
hharryu,Hammerin Harry
hitice,Hit The Ice
hooku,Hook
horizon,Horizon
hvysmsh,Heavy Smash
ikari3nr,Ikari III - The Rescue
ikarijpb,Ikari Warriors
imgfight,Image Fight
inthunt,In the Hunt
invaders,Space Invaders / Space Invaders M
irobot,I Robot
jailbrek,Jail Break
journey,Journey
joust,Joust
jungleh,Jungle King
junofrst,Juno First
kangaroo,Kangaroo
karnov,Karnov
kchamp,Karate Champ
kick,Kick
klax,Klax
knightsu,Knights of the Round
kodu,The King of Dragons
kungfum,Kung-fu Master
landmkrp,Land Maker
ldrun,Lode Runner
ldrun2,Lode Runner II - The Bungeling Strikes Back
ldrun4,Lode Runner IV - Teikoku Karano Dasshutsu
lethalth,Lethal Thunder
lifefrce,Salamander
lightbr,Dungeon Magic
liquidk,Liquid Kids
lkage,The Legend of Kage
llander,Lunar Lander
loderndf,Lode Runner: The Dig Fight
loht,Legend of Hero Tonma
looping,Looping
lwings,Legendary Wings
macross,Super Spacefortress Macross
macross2,Super Spacefortress Macross II
macrossp,Macross Plus
mainev2p,The Main Event
mappy,Mappy
marble,Marble Madness
mario,Mario Bros
mazinger,Mazinger Z
mbombrd,Muscle Bomber Duo : Ultimate Team Battle
megaman2,Mega Man 2: The Power Fighters
mercs,Mercs
metamrph,Metamorphic Force
metmqstr,Metamoqester
mgcrystl,Magical Crystals
mhavoc,Major Havoc
milliped,Millipede
missile,Missile Command
mk,Mortal Kombat
mk2,Mortal Kombat 2
mk3,Mortal Kombat 3
mmatrix,Mars Matrix: Hyper Solid Shooting
monsterb,Monster Bash
moonwalk,Michael Jacksons Moonwalker
mooua,Wild West COW Boys Of Moo Mesa
mpatrol,Moon Patrol
mrdo,Mr Do
mshvsfj,Marvel Super Heroes vs. Street Fighter
mspacman,Ms Pac-Man
mswordu,Magic Sword: Heroic Fantasy
mtwins,Mega Twins
mvsc,Marvel vs. Capcom : Clash of Super Heroes
mystwaru,Mystic Warriors
narc,Narc
nbajam,Nba Jam
nbajamte,NBA Jam Tournament Edition
nbbatman,Ninja Baseball Bat Man
nemo,Nemo
nibbler,Nibbler
ninjak,The Ninja Kids
ninjakd2,Ninja-Kid II
nitrobal,Nitro Ball
noboranb,Noboranka
nrallyx,New Rally X
nslasher,Night Slashers
nspirit,Ninja Spirit
nwarr,Night Warriors: Darkstalkers Revenge
offroad,Ironman Ivan Stewarts Super Off-Road
outfxies,The Outfoxies
outrunb,Out Run
outzone,Out Zone
pacland,Pac-Land
pacman,Pac-Man
pang3,Pang 3
paperboy,Paperboy
parodius,Parodius Da
pengo,Pengo
peterpak,Peter Pack Rat
phoenix,Phoenix
pipedrm,Pipe Dream
pitfight,Pit Fighter
polepos,Pole Position
polepos2,Pole Position II
pooyan,Pooyan
popeyef,Popeye
pow,POW: Prisoners of War
progear,Progear
punchout,Punch-Out
punishru,The Punisher
punksht2,Punk Shot
puyopuy2,Puyo Puyo 2
puyopuya,Puyo Puyo
puzloopu,Puzz Loop
qbert,Q-bert
qix,Qix
rallyx,Rally X
rampage,Rampage
ramprt2p,Rampart
rastanu,Rastan
renegade,Renegade
ringdest,Ring of Destruction: Slam Masters II
ringking,Ring King
robocop,Robocop
robocp2u,Robocop 2
robotron,Robotron: 2084
rocnrope,Roc n Rope
rohgau,Rohga Armor Force
rthun2,Rolling Thunder 2
rthunder,Rolling Thunder
rtype2,R-Type II
rtypeleo,R-Type Leo
rtypeu,R-Type
rushatck,Rush-n Attack
rygar,Rygar
s1945,Strikers 1945
s1945ii,Strikers 1945 II
s1945iii,Strikers 1945 III
samuraia,Sengoku Aces
scontra,Super Contra
seawolf,Sea Wolf
seganinu,Sega Ninja
sf1us,Street Fighter
sf2,Street Fighter II : The World Warrior
sf2t,Street Fighter II : Champion Edition
sfa2,Street Fighter Alpha 2
sfa3,Street Fighter Alpha 3
sgemf,Super Gem Fighter: Mini Mix
shadfrce,Shadow Force
shangon,Super Hang-On
shaolins,Kicker
sharrier,Space Harrier
shdancer,Shadow Dancer
shinobi,Shinobi
shollow,Satans Hollow
sidearmr,Side Arms - Hyper Dyne
simpsn2p,The Simpsons
sinistar,Sinistar
slammasu,Saturday Night Slam Masters
slyspy,Sly Spy
smashtv,Smash TV
snowbrob,Snow Bros - Nick and Tom
solomon,Solomons Key
sonic,Segasonic The Hedgehog
sonson,Son Son
spf2t,Super Puzzle Fighter II Turbo
spidey,Spider-Man: The Videogame
splatter,Splatter House
spnchout,Super Punch-Out
spyhunt,Spy Hunter
ssf2t,Super Street Fighter II Turbo
ssprint,Super Sprint
ssrdrubc,Sunset Riders
starcas,Star Castle
starwars,Star Wars
stdragon,Saint Dragon
stmblade,Storm Blade
strider,Strider
superman,Superman
superpac,Super Pac-Man
tapper,Tapper
tekken,Tekken
tekken2,Tekken 2
tekken3,Tekken 3
tempest,Tempest
tetris,Tetris
thndrbld,Thunder Blade
tigeroad,Tiger Road
timeplt,Time Pilot
tmnt22p,Teenage Mutant Ninja Turtles: Turtles in Time
tmnt2po,Teenage Mutant Ninja Turtles
tnzsb,The NewZealand Story
tokiu,Toki
toobin,Toobin
trackfld,Track and Field
trojan,Trojan
tron,Tron
truxton2,Truxton II
tumblep,Tumble Pop
typhoon,Ajax
uccops,Undercover Cops
umk3,Ultimate Mortal Kombat 3
unsquad,UN Squadron
upndown,Up n Down
valkyrie,Valkyrie no Densetsu
varthu,Varth: Operation Thunderstorm
vball,US Championship V-ball
vendet2p,Vendetta
vf,Virtua Fighter
vigilntu,Vigilante
viostorm,Violent Storm
volfied,Volfied
vsav2,Vampire Savior 2: The Lord of Vampire
vsavu,Vampire Savior: The Lord of Vampire
wb3,Wonder Boy III - Monster Lair
wbmlb,Wonder Boy in Monster Land
wboyu,Wonder Boy
wildfang,Tecmo Knight
willow,Willow
wofu,Warriors of Fate
wow,Wizard of Wor
xevious,Xevious
xexex,Xexex
xmcotau,X-Men: Children of the Atom
xmen2p,X-Men
xmultipl,X Multiply
xmvsfu,X-Men vs Street Fighter
zaxxon,Zaxxon
zerowing,Zero Wing
zookeep,Zoo Keeper
